"cbsa","Region_Name","Total: Abs. Disparity","Total: Rel. Disparity"
39140,"West",8.12948471049151,1.10877046881383
42220,"West",8.11509433601119,1.1052071311184
36100,"South",8.11139601241857,1.11240471742605
27780,"Northeast",8.11012611880611,1.10910244968018
46220,"South",8.09035244808788,1.11322504432458
45500,"South",8.08394624851678,1.11337084750321
41660,"South",8.08266752527196,1.11046625726999
26820,"West",8.07899137492246,1.10739937174444
17860,"Midwest",8.07125420802488,1.10649683222381
48540,"South",8.06842768349227,1.11130410035686
49340,"Northeast",8.06498845933036,1.10641724253432
24020,"Northeast",7.98841215659487,1.10424410087614
49020,"South",7.98338614845307,1.10763734393128
42680,"South",7.94694338289422,1.1052961684092
38540,"West",7.94000305712886,1.10797811026762
14260,"West",7.93838832078301,1.10440497276131
11700,"South",7.93304008691748,1.10649007759167
42100,"West",7.93035443958392,1.10242602951546
25220,"South",7.89581197524623,1.1118693540934
15540,"Northeast",7.87858135136852,1.102344115619
24260,"Midwest",7.87389827970286,1.1043761696653
19140,"South",7.8616620360145,1.10733422781323
26380,"South",7.8432412276272,1.10891021061089
31740,"Midwest",7.83872235370412,1.10128098708082
28020,"Midwest",7.83125312400609,1.1041766536085
40660,"South",7.82664898815964,1.10907442423285
12100,"Northeast",7.80579742851901,1.10568890907906
34580,"West",7.77618283153081,1.10214582808161
21340,"South",7.76509665603823,1.10316586607264
12700,"Northeast",7.76487266045352,1.10084860187937
32780,"West",7.75796946224013,1.10439362716271
17780,"South",7.75544463087155,1.10447602244112
30300,"West",7.70959643662061,1.10417949862027
26140,"South",7.70828417535102,1.10688304862415
33260,"South",7.70718592562173,1.10325477527883
27900,"Midwest",7.68439652947838,1.10623689079925
33700,"West",7.65068859626611,1.10366569107552
29540,"Northeast",7.64208392549677,1.09996464825648
43300,"South",7.63333998304582,1.10599524518302
49620,"Northeast",7.63030193005485,1.10159150152281
10540,"West",7.61207833574464,1.10299338371544
13020,"Midwest",7.60429673698108,1.10247881123829
34900,"West",7.56013966380737,1.09761394877039
28700,"South",7.54858869738153,1.10543612008521
12620,"Northeast",7.50388753714946,1.10232200882588
32900,"West",7.40243508830364,1.09881514231388
15680,"South",7.35780371831035,1.09533236149883
48260,"Midwest",7.32657771838493,1.10325554424961
22220,"South",7.30039850215822,1.09802988298509
21060,"South",7.28764849928096,1.10003148972968
25060,"South",7.28098676709131,1.10175322420007
25860,"South",7.22935878315799,1.09881516488828
48300,"West",7.19268918529446,1.09279581266242
17660,"West",7.13799368893024,1.09419860580489
27740,"South",7.13753066418692,1.09872403774626
22520,"South",7.12398658894356,1.09992464529837
25260,"West",7.1144720225946,1.09523077486038
29940,"Midwest",7.09877794805371,1.09328639129418
25500,"South",7.09574390232765,1.09316197139828
13380,"West",7.09019223220665,1.09197139727863
16180,"West",7.05378429371416,1.094760196806
27340,"South",7.04273140092796,1.09616657192354
34060,"South",7.01642028738141,1.09448699658299
13980,"South",7.00830010963492,1.09519068849376
19300,"South",6.96653332892476,1.09393099035621
31460,"West",6.95610417308707,1.09339166195423
49740,"West",6.94344929450135,1.09266988823098
23580,"South",6.91739317387671,1.09291775819266
30980,"South",6.83148985948522,1.09426134235991
42020,"West",6.75200672656678,1.08749957499063
20100,"South",6.52421467748958,1.08856640119101
33140,"Midwest",6.46441355928481,1.08927644771196
14100,"Northeast",6.37908015234795,1.08535571598673
44420,"South",6.27152333227617,1.08435413547164
20020,"South",6.09686470598301,1.08331659929187
41100,"West",6.0911629688256,1.07790900763662
23900,"Northeast",5.79222021231536,1.07515994843303
34100,"South",5.59194809955621,1.07688094758691
24420,"West",5.22673913975095,1.07055762431315
25980,"South",5.15459681083346,1.07001704665713
